Date,Open,High,Low,Close
2018-01-02,221.02000427246094,222.4499969482422,220.0,221.16000366210938
2018-01-03,221.6199951171875,223.80999755859375,220.52000427246094,223.47999572753906
2018-01-04,224.33999633789062,226.10000610351562,224.1699981689453,224.4499969482422
2018-01-05,225.19000244140625,229.0500030517578,224.72000122070312,228.72999572753906
2018-01-08,228.1300048828125,228.7100067138672,224.61000061035156,224.75999450683594
2018-01-09,224.75999450683594,226.6300048828125,223.3000030517578,225.8800048828125
2018-01-10,224.8300018310547,225.00999450683594,223.02999877929688,224.1999969482422
2018-01-11,224.17999267578125,225.9199981689453,223.6999969482422,225.38999938964844
2018-01-12,227.4499969482422,229.89999389648438,226.52000427246094,228.63999938964844
2018-01-16,233.3699951171875,235.0,231.25,232.89999389648438
2018-01-17,234.6699981689453,238.9600067138672,233.85000610351562,238.42999267578125
2018-01-18,239.25999450683594,243.89999389648438,238.5500030517578,243.16000366210938
2018-01-19,244.17999267578125,244.35000610351562,241.07000732421875,243.35000610351562
2018-01-22,243.58999633789062,243.8000030517578,241.36000061035156,243.55999755859375
2018-01-23,242.99000549316406,246.97999572753906,242.41000366210938,245.2100067138672
2018-01-24,246.00999450683594,247.30999755859375,243.7100067138672,244.85000610351562
2018-01-25,244.75,246.19000244140625,243.89999389648438,245.17999267578125
2018-01-26,245.0,248.74000549316406,244.4600067138672,248.47000122070312
2018-01-29,249.27999877929688,250.7899932861328,247.39999389648438,247.41000366210938
2018-01-30,232.8800048828125,242.74000549316406,232.10000610351562,236.64999389648438
2018-01-31,242.83999633789062,247.0,235.75999450683594,236.77999877929688
2018-02-01,235.25999450683594,237.82000732421875,233.8300018310547,235.22000122070312
2018-02-02,233.0,236.3000030517578,231.19000244140625,231.8800048828125
2018-02-05,230.7899932861328,233.11000061035156,208.47999572753906,220.02000427246094
2018-02-06,212.1999969482422,226.50999450683594,210.2100067138672,225.17999267578125
2018-02-07,222.3300018310547,229.2899932861328,221.50999450683594,225.82000732421875
2018-02-08,225.3300018310547,226.6300048828125,216.25999450683594,216.4600067138672
2018-02-09,218.0,223.27999877929688,212.00999450683594,220.9600067138672
2018-02-12,222.44000244140625,228.0,222.14999389648438,225.69000244140625
2018-02-13,223.14999389648438,227.1199951171875,222.38999938964844,226.63999938964844
2018-02-14,224.9499969482422,229.33999633789062,223.9199981689453,228.77999877929688
2018-02-15,229.27000427246094,230.0,221.74000549316406,226.02000427246094
2018-02-16,225.99000549316406,230.5500030517578,225.6999969482422,229.3699951171875
2018-02-20,227.91000366210938,228.75,225.61000061035156,226.66000366210938
2018-02-21,226.14999389648438,229.35000610351562,225.11000061035156,225.1300048828125
2018-02-22,226.3000030517578,229.83999633789062,225.0800018310547,227.08999633789062
2018-02-23,227.89999389648438,230.32000732421875,225.91000366210938,230.16000366210938
2018-02-26,231.63999938964844,234.50999450683594,229.6999969482422,234.05999755859375
2018-02-27,234.39999389648438,235.88999938964844,232.44000244140625,232.52000427246094
2018-02-28,234.4199981689453,234.75,226.08999633789062,226.16000366210938
2018-03-01,225.6999969482422,229.2899932861328,222.74000549316406,224.4499969482422
2018-03-02,223.2100067138672,225.82000732421875,222.58999633789062,225.19000244140625
2018-03-05,223.3699951171875,229.42999267578125,222.7899932861328,228.3800048828125
2018-03-06,228.9199981689453,229.14999389648438,223.88999938964844,226.17999267578125
2018-03-07,224.35000610351562,227.82000732421875,223.75,227.27000427246094
2018-03-08,227.92999267578125,227.99000549316406,223.9199981689453,224.72999572753906
2018-03-09,226.11000061035156,226.52000427246094,222.5,225.42999267578125
2018-03-12,226.2100067138672,227.0,222.77000427246094,222.77000427246094
2018-03-13,223.52999877929688,228.05999755859375,223.16000366210938,226.94000244140625
2018-03-14,227.1300048828125,229.38999938964844,225.02000427246094,225.3800048828125
2018-03-15,225.8300018310547,230.75999450683594,225.66000366210938,229.47999572753906
2018-03-16,229.66000366210938,231.27000427246094,227.75,227.86000061035156
2018-03-19,227.30999755859375,227.97000122070312,223.67999267578125,225.0500030517578
2018-03-20,225.16000366210938,227.60000610351562,223.8800048828125,226.77999877929688
2018-03-21,226.4499969482422,227.44000244140625,222.82000732421875,222.82000732421875
2018-03-22,221.64999389648438,221.66000366210938,215.10000610351562,215.2100067138672
2018-03-23,215.75,217.72999572753906,212.5,212.5500030517578
2018-03-26,215.19000244140625,219.41000366210938,214.6999969482422,219.07000732421875
2018-03-27,220.32000732421875,221.9499969482422,216.41000366210938,217.9600067138672
2018-03-28,218.88999938964844,219.91000366210938,217.0399932861328,218.5
2018-03-29,219.3800048828125,223.35000610351562,214.0,214.0
2018-04-02,218.4600067138672,222.99000549316406,214.6300048828125,217.1999969482422
2018-04-03,220.33999633789062,225.10000610351562,219.69000244140625,224.5800018310547
2018-04-04,220.69000244140625,229.47999572753906,220.4199981689453,228.7899932861328
2018-04-05,229.4600067138672,231.5800018310547,226.8000030517578,229.07000732421875
2018-04-06,226.64999389648438,228.19000244140625,221.82000732421875,223.9600067138672
2018-04-09,225.5800018310547,226.1300048828125,222.36000061035156,222.72999572753906
2018-04-10,225.39999389648438,228.16000366210938,223.49000549316406,226.7899932861328
2018-04-11,224.27000427246094,225.38999938964844,221.69000244140625,221.89999389648438
2018-04-12,224.0399932861328,225.75,223.41000366210938,224.24000549316406
2018-04-13,225.10000610351562,226.1300048828125,223.0800018310547,224.27999877929688
2018-04-16,227.11000061035156,231.85000610351562,226.35000610351562,230.32000732421875
2018-04-17,239.30999755859375,241.6699981689453,236.0800018310547,238.5500030517578
2018-04-18,239.0,239.74000549316406,236.3000030517578,236.39999389648438
2018-04-19,236.1999969482422,238.27000427246094,234.8000030517578,235.75999450683594
2018-04-20,236.0500030517578,237.10000610351562,233.5,235.05999755859375
2018-04-23,235.2899932861328,236.2100067138672,233.0800018310547,234.33999633789062
2018-04-24,235.9499969482422,237.32000732421875,232.55999755859375,234.22000122070312
2018-04-25,233.4499969482422,235.10000610351562,230.44000244140625,234.89999389648438
2018-04-26,235.72999572753906,237.83999633789062,234.3300018310547,237.02999877929688
2018-04-27,237.6300048828125,240.5399932861328,237.14999389648438,240.17999267578125
2018-04-30,241.0,241.0,236.39999389648438,236.39999389648438
2018-05-01,237.0,237.49000549316406,234.36000061035156,236.85000610351562
2018-05-02,235.3800048828125,236.2100067138672,232.86000061035156,233.4600067138672
2018-05-03,231.97000122070312,234.8000030517578,229.30999755859375,234.14999389648438
2018-05-04,233.10000610351562,236.64999389648438,232.16000366210938,235.89999389648438
2018-05-07,235.8800048828125,236.99000549316406,232.6300048828125,233.77999877929688
2018-05-08,233.72000122070312,233.72000122070312,230.64999389648438,232.02999877929688
2018-05-09,233.0500030517578,233.4199981689453,228.22999572753906,229.2100067138672
2018-05-10,230.14999389648438,234.2899932861328,229.36000061035156,233.7100067138672
2018-05-11,233.5800018310547,238.8000030517578,232.9499969482422,238.27999877929688
2018-05-14,238.89999389648438,243.6699981689453,238.82000732421875,242.89999389648438
2018-05-15,241.86000061035156,242.22000122070312,238.6699981689453,239.5
2018-05-16,239.64999389648438,241.80999755859375,238.57000732421875,241.72000122070312
2018-05-17,241.49000549316406,243.55999755859375,240.5399932861328,242.9600067138672
2018-05-18,243.3699951171875,244.75999450683594,242.38999938964844,244.63999938964844
2018-05-21,245.0,249.1699981689453,244.83999633789062,247.89999389648438
2018-05-22,248.0,248.0500030517578,243.83999633789062,245.17999267578125
2018-05-23,244.02999877929688,245.5,241.63999938964844,244.25999450683594
2018-05-24,244.57000732421875,245.44000244140625,242.1999969482422,242.72999572753906
2018-05-25,242.9499969482422,245.5800018310547,242.44000244140625,244.9499969482422
2018-05-29,243.86000061035156,243.86000061035156,240.24000549316406,242.1699981689453
2018-05-30,243.74000549316406,245.75,242.6300048828125,244.94000244140625
2018-05-31,244.2100067138672,244.75,240.67999267578125,241.50999450683594
2018-06-01,243.74000549316406,243.74000549316406,241.2899932861328,243.35000610351562
2018-06-04,244.0,245.24000549316406,242.74000549316406,244.6300048828125
2018-06-05,245.08999633789062,245.11000061035156,241.91000366210938,244.42999267578125
2018-06-06,246.32000732421875,248.72000122070312,245.1300048828125,248.64999389648438
